車站；進/出站,年度/月份,南港,台北,板橋,桃園,新竹,苗栗,台中,彰化,雲林,嘉義,台南,左營,總計
進站,2019年6月,234862,1301803,363975,604796,502411,77408,957819,59462,114945,236836,362762,793857,5610936
出站,2019年6月,207161,1321306,362710,605251,521620,78125,948986,60471,115070,235853,361496,792887,5610936
進站,2019年5月,223747,1284078,350847,580771,505010,76737,946101,55720,110257,226474,349037,766360,5475139
出站,2019年5月,198895,1306221,350620,580643,517320,78192,938757,56774,111266,224592,349462,762397,5475139
進站,2019年4月,241528,1304180,367986,583624,494391,80159,980989,66986,124306,259678,367041,807699,5678567
出站,2019年4月,207329,1334420,371716,575674,510462,82225,970505,66805,125838,256840,371553,805200,5678567
進站,2019年3月,231415,1317071,356761,561806,499829,79871,1005821,61814,114942,243926,368928,806269,5648453
出站,2019年3月,221872,1361206,364551,560148,524723,79639,985570,59898,112972,233190,359119,785565,5648453
進站,2019年2月,233188,1215995,368431,535570,438344,79971,906169,68423,129900,264500,350984,833897,5425372
出站,2019年2月,186713,1247617,368197,536052,440304,81495,896694,70190,130584,266437,358138,842951,5425372
進站,2019年1月,207812,1272576,334363,546105,491050,69694,930986,51321,97995,206033,347964,770894,5326693
出站,2019年1月,191459,1286996,336270,540714,511428,71057,920395,51279,99370,206136,346322,765267,5326693
進站,2018年12月,233027,1380319,421167,612092,523258,81038,1022694,59500,112534,232935,371647,826634,5876845
出站,2018年12月,200664,1386565,399539,600465,538924,83866,1025584,61705,114239,238511,377762,849021,5876845
進站,2018年11月,225663,1289491,354645,560723,498894,73828,960019,55751,107333,227966,381900,781169,5517382
出站,2018年11月,197309,1310636,350414,546864,512413,76604,954543,57024,108668,229759,386240,786908,5517382
進站,2018年10月,201584,1254680,338626,542107,492271,69697,933088,54260,106580,222264,341363,755454,5311974
出站,2018年10月,185994,1279380,337120,539371,508881,70425,918632,54068,106502,219299,341909,750393,5311974
進站,2018年9月,215112,1223312,337817,533761,477698,70972,912913,56957,107627,227408,339818,747759,5251154
出站,2018年9月,189707,1245658,336748,523970,499372,71502,905381,56322,107409,224092,342458,748535,5251154
進站,2018年8月,221470,1286767,343837,547833,505080,69543,939751,54948,107455,227930,345483,769855,5419952
出站,2018年8月,203018,1299588,344063,543528,519584,71160,933984,57160,108597,228444,346460,764366,5419952
進站,2018年7月,200942,1257107,339850,537116,483450,68854,921414,53752,104012,225299,338964,759080,5289840
出站,2018年7月,185525,1276207,339866,537570,506874,68985,905253,53765,103303,222809,336827,752856,5289840
進站,2018年6月,202458,1229273,335005,524568,473903,67616,904011,53535,103614,220889,336673,734159,5185704
出站,2018年6月,177290,1234155,332443,523518,488124,69534,898340,55709,104975,222943,338620,740053,5185704
進站,2018年5月,194210,1236965,334499,528376,476373,69796,916654,53615,106695,227824,338773,729056,5212836
出站,2018年5月,175440,1260817,335369,524252,495285,70339,904421,53812,106214,225170,337795,723922,5212836
進站,2018年4月,215695,1272054,358396,550300,464976,72313,956172,62710,118079,254506,357107,793584,5475892
出站,2018年4月,187330,1303585,363053,543891,485094,73001,940867,62355,116345,250509,360128,789734,5475892
進站,2018年3月,195339,1280405,337753,532752,478463,69392,931982,53765,101779,264009,341159,722095,5308893
出站,2018年3月,178750,1287580,335350,527057,489303,70148,925148,55533,102371,261894,343013,732746,5308893
進站,2018年2月,202256,1179059,346808,508584,413246,68916,852740,65184,116821,278192,335724,786740,5154270
出站,2018年2月,169006,1215182,354571,494502,425240,69002,842282,65027,116368,275793,339905,787392,5154270
進站,2018年1月,183490,1196613,319080,504785,448746,62689,861471,49007,92694,205787,323595,710500,4958457
出站,2018年1月,173755,1217563,324262,513291,473130,62384,847274,47794,91457,198617,317500,691430,4958457
