Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,2454,0.2665,1484,3641669,1798847,5518964,37,29,32,2,100
華園大飯店,269,2510,0.301,1770,4442725,2023091,14015390,43,37,32,0,112
高雄國賓大飯店,453,9860,0.7021,1918,18913178,30996510,51814197,121,162,20,59,362
漢來大飯店,436,7904,0.5848,3604,28482862,59578400,103012041,200,458,8,205,871
高雄福華大飯店,271,5833,0.6943,2184,12742000,17442000,33298000,90,141,36,23,290
君鴻國際酒店,585,10357,0.5711,2044,21174790,26333010,58595578,150,188,130,22,490
寒軒國際大飯店,380,7193,0.6106,1846,13276031,15441084,30010204,106,124,35,23,288
麗尊大酒店,198,3583,0.5837,2125,7613345,16730897,26006892,69,101,12,25,207
晶英國際行館,147,406,0.0891,6420,2606661,10940388,15249781,60,78,50,0,188
福容大飯店 高雄,250,4487,0.579,1634,7332099,3932179,11290855,40,34,8,4,86
