Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,1923,2188,4111,3198,108,318,76,13,40,27,79,62,129,6,55,0,"4,111"
華園大飯店,1116,4100,5216,1899,1147,707,76,78,485,69,361,308,78,8,0,0,"5,216"
高雄國賓大飯店,7802,9012,16814,7036,4634,2675,265,911,74,32,215,209,409,90,264,0,"16,814"
漢來大飯店,11824,2415,14239,5567,2115,1618,0,0,0,0,391,1814,841,331,977,585,"14,239"
高雄福華大飯店,7902,4903,12805,5466,1936,2864,255,312,136,184,316,270,567,69,430,0,"12,805"
君鴻國際酒店,8652,6221,14873,6395,4717,1249,574,382,184,85,462,294,250,86,195,0,"14,873"
寒軒國際大飯店,5917,7404,13321,7668,3332,1290,123,202,64,51,148,250,151,24,18,0,"13,321"
麗尊大酒店,4778,1248,6026,3430,1190,492,126,247,131,33,107,58,98,54,60,0,"6,026"
義大皇家酒店,6528,17942,24470,23332,330,281,57,241,14,30,23,97,40,2,23,0,"24,470"
晶英國際行館,931,106,1037,651,81,27,12,140,6,5,7,48,49,9,2,0,"1,037"
福容大飯店 高雄,3210,6288,9498,6898,1282,249,240,108,28,22,378,22,23,8,240,0,"9,498"
