台北花園?酒店 Taipei Garden Hotel,"9,146","3,596","12,742","1,065","2,621","5,122",938,446,651,211,666,454,447,90,31,0,"12,742",,
"歐華酒店
The Riviera Hotel","3,975",0,"3,975",256,213,"1,834",77,184,64,86,269,467,430,36,59,0,"3,975",,
義華酒店 YIHUA Hotel,"1,323",75,"1,398",246,191,48,120,54,77,58,51,390,106,41,16,0,"1,398",,
第??飯店 First Hotel,382,"8,828","9,210",625,"4,015","2,013",100,46,197,39,404,66,45,3,"1,657",0,"9,210",,
?都?飯店 Capital Hotel,253,"5,265","5,518",938,"1,369","1,829",258,236,159,60,124,260,243,17,25,0,"5,518",,
"台北有園飯店
U HOTEL TAIPEI",597,621,"1,218",195,665,96,11,125,37,7,39,23,9,3,8,0,"1,218",,
總計Total,"312,820","127,686","440,506","56,343","64,532","155,474","23,615","24,709","13,662","5,271","18,021","44,160","22,804","4,708","6,855",352,"440,506",,
觀光旅館營運?報表單?-彙整表 (Monthly Report on Tourist Hotel Operations in Taiwan),,,,,,,,,,,,,,,,,,,
列印?期,2019/05/07,?雄地區,,資料期間:,,2019年3??2019年3?(Data for 2019/3~2019/3),,,,,,,,,,,,,
,住客類別統計No. of Guests by Type,,,各地區旅客?數統計No. of Guests by Country / Region,,,,,,,,,,,,,,,
旅館名稱Region,FIT類別FIT,"GROUP
類別 GROUP",類別合計 Total,本國 Domestic,?陸 China,?本 Japan,韓國Korea,港澳 HK & Macao,新加坡 Singapore,?來?亞 Malaysia,其他亞洲地區 Asia(Other Asia Region),北美North American,歐洲 Europe,紐澳 NZ & AU,其它 Other,華僑 Chinese Overseas,合計Total,,
漢來?飯店 GRAND HI-LAI HOTEL,"15,305","4,822","20,127","9,975","2,097","2,060",0,0,0,0,"2,705","1,779",742,167,602,0,"20,127",,
?雄國賓?飯店 The Ambassador Hotel Kaohsiung,"9,936","9,872","19,808","7,633","4,102","4,509",132,817,200,368,"1,051",479,249,50,218,0,"19,808",,
寒軒國際?飯店 Han-Hsien lnternational Hotel,"6,851","8,918","15,769","8,846","3,584","1,698",321,368,76,243,187,143,254,36,13,0,"15,769",,
?雄福華?飯店 Howard Plaza Hotel Kaohsiung,"9,409","4,145","13,554","4,801","1,452","3,506",220,305,206,92,977,472,838,164,521,0,"13,554",,
君鴻國際酒店 85 SKY TOWER HOTEL,"11,861","8,074","19,935","8,818","4,393","1,878","1,753",602,300,203,405,441,776,85,281,0,"19,935",,
華王?飯店 Hotel Kingdom,"1,809","4,424","6,233","5,362",63,326,44,12,43,64,158,53,95,13,0,0,"6,233",,
麗尊?酒店 The Lees Hotel,"4,569","2,353","6,922","3,392","1,860",685,192,229,118,65,115,31,191,4,40,0,"6,922",,
"義?皇家酒店
E-DA Royal Hotel","7,625","14,380","22,005","19,496","1,807",172,138,184,39,16,51,56,28,14,4,0,"22,005",,
華園?飯店 Hotel Holiday Garden Kaohsiung,"6,951","5,846","12,797","6,928","3,072","1,015","1,152",96,10,192,159,132,41,0,0,0,"12,797",,
