觀光旅館營運月報表單月-彙整表 (Monthly Report on Tourist Hotel Operations in Taiwan),,,,,,,,,,,,,,,,,,
列印日期：,,43423,,資料期間：,,2018年7月至2018年7月(Data for 2018/7～2018/7),,,,,,,,,,,,
,,住用及營收概況,,,,,,各部門職工概況(No. of Employees),,,,,,,,,,
地區名稱,,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Region,,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
臺北地區 Taipei,國際Internation,180202,0.6554,4325,779443948,906023303,1944989556,2950,5364,1745,859,10918,,,,,,
臺北地區 Taipei,一般Standard,52033,0.6709,3332,173386763,154821057,373636262,746,1024,457,251,2478,,,,,,
臺北地區 Taipei,小計SubTotal,232235,0.6588,4103,952830711,1060844360,2318625818,3696,6388,2202,1110,13396,,,,,,
高雄地區 Kaohsiung,國際Internation,50600,0.5454,2257,114228073,154213513,303286883,815,1291,313,360,2779,,,,,,
高雄地區 Kaohsiung,一般Standard,5026,0.4084,2389,12008318,15209496,32882052,102,113,59,4,278,,,,,,
高雄地區 Kaohsiung,小計SubTotal,55626,0.5293,2269,126236391,169423009,336168935,917,1404,372,364,3057,,,,,,
臺中地區 Taichung,國際Internation,18805,0.5335,2496,46939821,59704982,130355531,391,552,175,96,1214,,,,,,
臺中地區 Taichung,一般Standard,7135,0.6595,2735,19514005,27368426,52587615,106,165,35,45,351,,,,,,
臺中地區 Taichung,小計SubTotal,25940,0.5631,2562,66453826,87073408,182943146,497,717,210,141,1565,,,,,,
花蓮地區 Hualien,國際Internation,22945,0.6803,2946,67601325,36176038,115836230,265,247,89,163,764,,,,,,
花蓮地區 Hualien,小計SubTotal,22945,0.6803,2946,67601325,36176038,115836230,265,247,89,163,764,,,,,,
風景區 Scenic Area,國際Internation,42533,0.6457,6163,262114860,119515346,453479173,745,899,281,599,2524,,,,,,
風景區 Scenic Area,一般Standard,13547,0.5209,3440,46595201,19207752,68336771,146,145,79,66,436,,,,,,
風景區 Scenic Area,小計SubTotal,56080,0.6103,5505,308710061,138723098,521815944,891,1044,360,665,2960,,,,,,
桃竹苗地區 TauHsiuMiao,國際Internation,47378,0.6636,2878,136333819,123259600,288694670,588,1014,307,198,2107,,,,,,
桃竹苗地區 TauHsiuMiao,一般Standard,21278,0.4931,2658,56559983,38744966,101892219,267,354,82,77,780,,,,,,
桃竹苗地區 TauHsiuMiao,小計SubTotal,68656,0.5994,2810,192893802,162004566,390586889,855,1368,389,275,2887,,,,,,
其他地區 Other,國際Internation,71078,0.556,4078,289829016,254741400,607862752,1037,1730,731,510,4008,,,,,,
其他地區 Other,一般Standard,20998,0.5163,2733,57383690,32773830,95978817,285,282,136,46,749,,,,,,
其他地區 Other,小計SubTotal,92076,0.5464,3771,347212706,287515230,703841569,1322,2012,867,556,4757,,,,,,
,總計 Total,553558,0.6068,3725,2061938822,1941759709,4569818531,8443,13180,4489,3274,29386,,,,,,
,,,,,,,,,,,,,,,,,,
類別,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
