"神旺?飯店
San Want Hotel",,"10,876",294,"11,170","2,233","4,818","1,200",0,0,0,0,"1,628",671,303,295,22,0,,"11,170"
"晶華酒店
Regent Taipei",,"18,914","3,018","21,932","4,011","2,095","10,477","1,184",881,379,107,296,"1,681",618,152,51,0,,"21,932"
"?華?飯店
The Sherwood Hotel
Taipei",,"8,508","2,790","11,298","1,527","1,050","3,385",798,"1,038",509,106,116,"1,363",601,160,645,0,,"11,298"
"華泰王??飯店
GLORIA PRINCE
HOTEL Taipei",,"2,197","1,464","3,661",119,122,"3,231",55,4,58,20,2,12,13,0,25,0,,"3,661"
"亞都麗緻?飯店
The Landis Taipei
Hotel",,"5,905",586,"6,491","2,162",586,"2,001",167,303,252,88,187,419,238,65,23,0,,"6,491"
"台北華國?飯店
Imperial Hotel Taipei",,"5,768","6,535","12,303",777,690,"5,580","1,748",124,197,40,281,374,"2,057",140,295,0,,"12,303"
"福華?飯店
Howard Plaza Hotel",,"12,931","2,758","15,689","2,703","2,877","3,392",928,325,308,170,581,"2,077","1,746",399,183,0,,"15,689"
"台北W飯店
W Taipei",,"2,249","12,184","14,433","2,351","2,465",746,354,"1,480",682,345,598,"3,954",894,405,159,0,,"14,433"
"台北君悅酒店
Grand Hyatt Taipei",,"33,075","6,634","39,709","6,016","3,483","2,056","4,044","1,272",936,211,"2,517","17,024","1,269",437,444,0,,"39,709"
"兄弟?飯店
Brother Hotel",,"4,176",363,"4,539","1,127",667,"1,434",117,275,0,0,419,295,99,38,68,0,,"4,539"
"台北寒舍喜來登?飯店
Sheraton Grand Taipei Hotel",,"16,784","6,955","23,739","2,816","4,096","6,341","1,542","1,313","1,600",204,"1,204","3,274",840,309,200,0,,"23,739"
"康華?飯店
Golden China Hotel",,"1,294","5,470","6,764",491,"1,595","3,792",163,118,61,31,222,161,106,14,0,10,,"6,764"
"台北凱撒?飯店
Caesar Park Taipei",,"22,682","2,022","24,704","3,158","2,082","11,633","2,657","2,072","1,117",194,602,534,362,232,61,0,,"24,704"
"國王?飯店
Emperor Hotel",,580,"1,352","1,932",27,42,"1,830",3,0,1,6,8,4,11,0,0,0,,"1,932"
"台北萬豪酒店
Taipei Marriott Hotel",,"9,019","2,215","11,234","1,419","1,674",475,"2,083",330,454,210,603,"2,669",498,157,662,0,,"11,234"
"台北美福?飯店
Grand Mayfull Hotel
Taipei",,"3,924",316,"4,240","1,231",468,615,867,196,74,77,189,330,116,77,0,0,,"4,240"
"香格?拉台北遠東國際?飯店
Shangri-La's Far Eastern Plaza Hotel, Taipei",,"9,362","4,012","13,374",919,"2,457","1,210",690,"1,634",652,157,435,"3,383",972,686,179,0,,"13,374"
"三德?飯店
Santos Hotel",,"7,416","3,518","10,934",887,"4,269","3,579",754,506,114,65,128,269,135,130,98,0,,"10,934"
"圓??飯店
The Grand Hotel",,"12,644","10,323","22,967","2,509","9,310","7,613","1,286",244,192,44,284,801,373,283,28,0,,"22,967"
"豪景?酒店
Hotel Riverview Taipei",,"3,804","4,906","8,710",315,"3,696","1,681",708,413,163,62,"1,437",139,39,57,0,0,,"8,710"
"國賓?飯店
The Ambassador
Hotel-Taipei",,"11,530","2,119","13,649","1,302",470,"10,414",106,56,189,94,118,306,176,31,63,324,,"13,649"
"美麗信花園酒店
Miramar Garden
Taipei",,"4,463","4,223","8,686","1,669","1,574","3,297",630,415,130,100,266,308,171,96,30,0,,"8,686"
"台北寒舍艾美酒店
Le Meridien Taipei
Hotel",,"5,182",219,"5,401","1,298",725,255,30,866,401,131,217,"1,091",273,75,39,0,,"5,401"
"國聯?飯店
United Hotel",,"4,551","2,669","7,220","3,039","1,505",814,348,443,172,173,12,323,210,59,122,0,,"7,220"
"合尊酒店
S Hotel",,"1,798",136,"1,934",378,834,46,43,202,26,14,50,99,120,50,72,0,,"1,934"
"台北君品?酒店
Palais De Chine Hotel
Taipei",,"10,985","1,477","12,462","1,192","1,255","3,574","1,825","1,637",388,130,778,741,579,286,77,0,,"12,462"
"亞?都飯店
Astar Hotel",,494,212,706,344,83,233,0,26,0,0,3,15,0,2,0,0,,706
"北投麗禧溫泉酒店
Grand View Resort
Beitou",,"3,058",394,"3,452","1,111",736,179,305,591,24,36,44,246,109,28,43,0,,"3,452"
"天成?飯店
Cosmos Hotel TAIPEI",,"12,871","1,099","13,970","1,135","1,306","5,840","2,805",662,536,117,254,881,146,278,10,0,,"13,970"
"寒舍艾麗酒店
Humble House Hotel
Taipei",,"5,583",410,"5,993",612,"1,419",145,94,"1,045",531,102,365,723,462,183,312,0,,"5,993"
"洛碁?飯店花華本館
Flora Hotel Main",,425,"3,989","4,414",586,92,"2,718",18,873,27,35,13,24,0,0,0,28,,"4,414"
"福容?飯店 台北?館
Fullon Hotel
Taipei,Central",,"1,757","1,376","3,133",843,"1,196",358,132,102,17,28,53,295,48,15,46,0,,"3,133"
"北投老爺酒店
Hotel Royal Beitou",,"2,079",120,"2,199","1,103",295,93,0,369,0,0,0,54,13,36,236,0,,"2,199"
"台北中?雅樂軒酒店
Aloft Taipei
Zhongshan",,"3,197",21,"3,218",374,455,608,38,239,319,91,118,794,89,49,44,0,,"3,218"
"慶泰?飯店
Gala Hotel",,613,"2,658","3,271",270,316,"2,271",57,0,0,0,191,76,26,1,19,44,,"3,271"
"六福客棧
The Leofoo Hotel",,"5,833","2,181","8,014","1,036","1,450","4,785",115,172,0,0,165,46,25,37,183,0,,"8,014"
"?勝?加賀屋國際溫泉飯店
Radium-Kagaya",,"3,065",408,"3,473","1,518",649,412,44,557,33,19,30,119,39,53,0,0,,"3,473"
"台北花園?酒店
Taipei Garden Hotel",,"11,876","1,462","13,338",860,"4,374","2,777","2,135",838,360,315,456,631,328,212,52,0,,"13,338"
"歐華酒店
The Riviera Hotel",,"2,728",0,"2,728",208,224,"1,185",175,91,38,37,133,360,241,34,2,0,,"2,728"
"義華酒店
YIHUA Hotel",,"1,078",42,"1,120",143,106,56,30,105,95,38,47,305,115,59,21,0,,"1,120"
"第??飯店
First Hotel",,367,"5,661","6,028",437,"2,062","1,353",177,74,76,1,455,100,60,0,"1,233",0,,"6,028"
"?都?飯店
Capital Hotel",,"2,890",269,"3,159",705,"1,583",478,97,90,13,22,38,74,21,18,20,0,,"3,159"
"台北有園飯店
U HOTEL TAIPEI",,571,265,836,142,432,58,11,95,16,17,26,13,4,5,17,0,,836
總計Total,,"297,677","109,222","406,899","57,825","71,977","120,565","29,456","22,258","11,237","3,703","15,699","47,330","14,774","5,729","5,940",406,,"406,899"
觀光旅館營運?報表單?-彙整表 (Monthly Report on Tourist Hotel Operations in Taiwan),,,,,,,,,,,,,,,,,,,
列印?期,,2019/05/10,?雄地區,,資料期間:,,2019年1??2019年1?(Data for 2019/1~2019/1),,,,,,,,,,,,
,,住客類別統計No. of Guests by Type,,,各地區旅客?數統計No. of Guests by Country / Region,,,,,,,,,,,,,,
旅館名稱Region,,FIT類別FIT,"GROUP
類別
GROUP","類別合計
Total","本國
Domestic","?陸
China","?本
Japan",韓國Korea,"港澳HK &
Macao","新加坡
Singapore","?來?亞
Malaysia","其他亞洲地區
Asia(Other Asia
Region)",北美North American,"歐洲
Europe","紐澳
NZ &
AU","其它
Other","華僑
Chinese
Overseas",,合計Total
"漢來?飯店
GRAND HI-LAI
HOTEL",,"14,180","3,656","17,836","8,220","2,410","1,692",0,0,0,0,689,"1,149",651,267,"1,724","1,034",,"17,836"
,,,,,,,,,,,,,,,,,,,
"?雄國賓?飯店
The Ambassador
Hotel Kaohsiung",,"11,429","8,538","19,967","10,437","3,925","3,105",821,833,68,25,80,212,259,64,138,0,,"19,967"
"寒軒國際?飯店
Han-Hsien
lnternational Hotel",,"7,165","6,510","13,675","8,018","3,143","1,294",356,164,79,73,143,129,219,32,25,0,,"13,675"
"?雄福華?飯店
Howard Plaza Hotel
Kaohsiung",,"11,554","2,390","13,944","6,810","1,493","3,239",311,88,172,119,380,269,651,49,363,0,,"13,944"
"君鴻國際酒店
85 SKY TOWER
HOTEL",,"9,977","6,020","15,997","6,324","3,476","1,476","2,996",290,118,58,342,276,356,107,178,0,,"15,997"
"華王?飯店
Hotel Kingdom",,"2,475","3,141","5,616","4,710",94,485,36,26,24,29,130,6,71,3,2,0,,"5,616"
"麗尊?酒店
The Lees Hotel",,"6,455","1,603","8,058","4,628","1,273",716,678,152,136,87,152,39,133,26,38,0,,"8,058"
