旅館名稱Region,FIT類別FIT,"GROUP
類別
GROUP","類別合計
Total","本國
Domestic","?陸
China","?本
Japan",韓國Korea,"港澳
HK &
Macao","新加坡
Singapore","?來?亞
Malaysia","其他亞洲地區
Asia(Other
Asia Region)",北美North American,"歐洲
Europe","紐澳
NZ &
AU","其它
Other","華僑
Chinese
Overseas",合計Total,,
圓??飯店,"16,285","6,594","22,879","2,620","12,934","5,029",727,162,217,66,225,637,207,47,8,0,"22,879",,
國賓?飯店,"11,189","2,309","13,498","1,889","1,179","8,950",382,64,91,21,80,141,111,56,101,433,"13,498",,
台北華國?飯店,"5,384","7,219","12,603","1,020",893,"4,712","2,553",535,251,282,87,345,"1,761",65,99,0,"12,603",,
華泰王??飯店,"2,094","1,399","3,493",285,338,"2,339",160,170,11,1,102,26,48,3,10,0,"3,493",,
國王?飯店,571,"1,331","1,902",147,78,"1,656",0,0,2,3,15,1,0,0,0,0,"1,902",,
豪景?酒店,"4,613","4,943","9,556",394,"5,394",914,729,428,357,643,602,57,26,12,0,0,"9,556",,
台北凱撒?飯店,"21,852","1,656","23,508","2,992","4,042","8,194","2,683","2,981",877,308,568,450,257,132,24,0,"23,508",,
康華?飯店,"1,317","5,383","6,700",804,"1,510","3,254",211,276,19,47,264,175,126,14,0,0,"6,700",,
神旺?飯店,"10,291",274,"10,565","2,380","5,465",745,0,0,0,0,"1,272",513,125,62,3,0,"10,565",,
兄弟?飯店,"3,623",276,"3,899","1,326",527,"1,184",113,119,0,0,237,179,96,27,91,0,"3,899",,
三德?飯店,"5,259","2,472","7,731",701,"4,224","1,741",276,266,57,19,155,95,82,10,105,0,"7,731",,
亞都麗緻?飯店,"5,284","1,411","6,695","2,450","1,411","1,288",185,285,120,119,141,409,229,50,8,0,"6,695",,
國聯?飯店,"3,683","2,709","6,392","3,059","1,379",361,326,418,0,98,84,254,320,10,83,0,"6,392",,
"台北寒舍喜來登
?飯店","17,777","4,901","22,678","1,839","8,858","3,809","1,269","1,234","1,352",102,486,"2,853",550,204,122,0,"22,678",,
老爺?酒店,"7,913",491,"8,404","1,247",517,"4,851",208,519,205,73,164,180,136,62,242,0,"8,404",,
福華?飯店,"14,897","1,796","16,693","5,184","3,499","2,609","1,112",520,178,119,311,"1,405","1,378",281,97,0,"16,693",,
台北君悅酒店,"22,140","4,462","26,602","3,599","6,098","1,004","5,232","1,689",667,171,"1,021","5,796",989,227,109,0,"26,602",,
晶華酒店,"19,754","2,734","22,488","5,194","4,971","6,795","1,854",931,232,111,505,941,732,164,58,0,"22,488",,
?華?飯店,"7,479","4,101","11,580","2,658","1,815","2,862",883,957,357,157,162,781,548,104,296,0,"11,580",,
