,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
觀光旅館營運月報表單月-彙整表 (Monthly Report on Tourist Hotel Operations in Taiwan),,,,,,,,,,,,,,,,,,
列印日期：,,2017/3/31,,資料期間：,,2017年1月至2017年1月(Data for 2017/1～2017/1),,,,,,,,,,,,
,,住用及營收概況,,,,,,各部門職工概況(No. of Employees),,,,,,,,,,
地區名稱,,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計,,,,,,
Region,,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total,,,,,,
臺北地區 Taipei,國際Internation,"178,343",64.74%,"4,790","854,187,080","1,510,697,840","2,665,345,399","3,137","5,541","1,778",893,"11,349",,,,,,
臺北地區 Taipei,一般Standard,"51,804",70.16%,"3,955","204,868,323","271,519,132","544,203,664",767,967,360,282,"2,376",,,,,,
臺北地區 Taipei,小計SubTotal,"230,147",65.89%,"4,602","1,059,055,403","1,782,216,972","3,209,549,063","3,904","6,508","2,138","1,175","13,725",,,,,,
高雄地區 Kaohsiung,國際Internation,"51,358",57.35%,"2,817","144,680,577","306,287,221","514,871,710",854,"1,269",307,356,"2,786",,,,,,
高雄地區 Kaohsiung,一般Standard,"2,673",34.49%,"2,966","7,928,758","4,861,179","12,864,063",47,29,8,11,95,,,,,,
高雄地區 Kaohsiung,小計SubTotal,"54,031",55.53%,"2,824","152,609,335","311,148,400","527,735,773",901,"1,298",315,367,"2,881",,,,,,
臺中地區 Taichung,國際Internation,"22,051",62.56%,"2,855","62,958,665","130,037,260","223,968,272",393,623,193,134,"1,343",,,,,,
臺中地區 Taichung,一般Standard,"6,850",63.31%,"2,753","18,856,486","45,415,455","70,438,992",108,211,40,41,400,,,,,,
臺中地區 Taichung,小計SubTotal,"28,901",62.74%,"2,831","81,815,151","175,452,715","294,407,264",501,834,233,175,"1,743",,,,,,
花蓮地區 Hualien,國際Internation,"16,500",39.19%,"3,121","51,492,958","47,707,831","104,707,629",235,351,115,234,935,,,,,,
花蓮地區 Hualien,小計SubTotal,"16,500",39.19%,"3,121","51,492,958","47,707,831","104,707,629",235,351,115,234,935,,,,,,
風景區 Scenic Area,國際Internation,"43,788",66.10%,"6,265","274,349,164","145,546,452","460,861,055",738,821,290,621,"2,470",,,,,,
風景區 Scenic Area,一般Standard,"5,862",31.57%,"4,583","26,867,006","17,676,268","47,312,434",123,122,67,32,344,,,,,,
風景區 Scenic Area,小計SubTotal,"49,650",58.54%,"6,067","301,216,170","163,222,720","508,173,489",861,943,357,653,"2,814",,,,,,
桃竹苗地區 TauHsiuMiao,國際Internation,"45,667",75.74%,"3,003","137,156,651","214,493,526","389,564,612",490,920,245,203,"1,858",,,,,,
桃竹苗地區 TauHsiuMiao,一般Standard,"23,239",53.85%,"2,707","62,902,032","76,537,909","147,520,885",255,364,88,76,783,,,,,,
桃竹苗地區 TauHsiuMiao,小計SubTotal,"68,906",66.61%,"2,903","200,058,683","291,031,435","537,085,497",745,"1,284",333,279,"2,641",,,,,,
其他地區 Other,國際Internation,"53,131",53.16%,"4,824","256,315,651","309,846,956","642,832,022",872,"1,363",578,410,"3,223",,,,,,
