Hotel Name,FIT,GROUP,Total,Domestic,China,Japan,Korea,HK & Macao,Singapore,Malaysia,Asia(Other Asia Region),North American,Europe,NZ & AU,Other,Chinese Overseas,Total
華王大飯店,4533,2015,6548,4771,342,619,114,155,14,23,302,85,123,0,0,0,6548
華園大飯店,2469,5001,7470,3077,1837,1393,158,568,26,4,101,197,89,20,0,0,7470
高雄國賓大飯店,10294,8367,18661,9697,4032,3035,250,535,120,300,149,186,235,14,108,0,18661
漢來大飯店,15044,1471,16515,8634,1865,1507,0,0,0,0,453,1435,580,230,1132,679,16515
高雄福華大飯店,12877,2505,15382,7700,2509,2470,471,488,37,190,428,275,521,55,238,0,15382
君鴻國際酒店,7960,10522,18482,11047,4232,930,614,799,99,64,147,170,190,53,137,0,18482
寒軒國際大飯店,8969,5687,14656,8076,3047,1519,119,576,103,114,594,203,270,33,2,0,14656
麗尊大酒店,8918,1762,10680,5582,2143,967,157,881,76,100,242,26,175,5,326,0,10680
晶英國際行館,708,79,787,754,0,9,0,7,3,4,0,3,7,0,0,0,787
福容大飯店 高雄,5461,4203,9664,6822,1504,387,101,261,11,12,473,12,72,7,2,0,9664
