Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
華王大飯店,297,3440,0.3861,1583,5444246,3257595,8871733,40,31,32,2,105
華園大飯店,269,3604,0.4466,1726,6221414,3419178,9966842,41,40,32,0,113
高雄國賓大飯店,453,11686,0.8599,1986,23212064,36820076,62221573,122,171,20,59,372
漢來大飯店,436,10077,0.7704,3884,39135458,64658610,119662774,189,486,7,215,897
高雄福華大飯店,271,7402,0.9105,2175,16103000,20518000,40412000,93,136,34,23,286
君鴻國際酒店,585,12033,0.6856,2477,29802058,26507481,69308715,152,189,135,25,501
寒軒國際大飯店,380,8690,0.7623,1943,16880713,22800631,41087226,107,120,34,24,285
麗尊大酒店,198,4901,0.8251,2115,10364558,21908149,34862365,72,100,12,27,211
晶英國際行館,139,253,0.0607,8670,2193404,11662545,16935182,69,74,42,0,185
福容大飯店 高雄,250,5161,0.6881,1740,8980446,4791853,13822957,41,45,8,9,103
